postal_code,lat,lon
561310,1.36481255187585,103.843844243986
562700,1.36941049804616,103.846059822142
568179,1.36968157907272,103.832327721676
569228,1.37196445720109,103.851763531681
569771,1.38149880313709,103.846785923565
570114,1.34754941457825,103.848880515837
570153,1.34608595890118,103.855078297214
570236,1.35900490157493,103.84700657533
570409,1.36221019788509,103.834946047117
573953,1.36015261805469,103.833717500257
573968,1.35808083343463,103.833402419618
574469,1.37551513393684,103.832478495578
576416,1.35369666590847,103.829315028701
577177,1.34884336335242,103.840907482125
589240,1.34463618560807,103.775711946075
589472,1.33669726404395,103.783723416319
590012,1.33840274340359,103.772685810097
597925,1.34249558049883,103.77389764448
600108,1.33828124030497,103.73701474739
600209,1.33782546503407,103.740093358961
600241,1.34148304648859,103.742967624105
600251,1.34316585363812,103.739676494398
608838,1.33225990249213,103.748074842021
609434,1.33136345447176,103.741683568769
609606,1.33268762821723,103.746622647549
609966,1.32857138791923,103.752715200132
610140,1.32689978062811,103.723710474794
610153,1.32748326048826,103.721043759531
610350,1.33867048179835,103.719135213429
618744,1.33648470496686,103.72212051084
637034,1.35294937020326,103.689223508671
640404,1.35392288813097,103.72250572335
640420,1.35057174649766,103.727172770969
640484,1.34820888556575,103.726357754906
640528,1.34831968709824,103.71695546848
640613,1.33978250520383,103.700667734162
640694,1.34302581073029,103.706879612056
640721,1.34399335727786,103.697595848966
640739,1.34594298573858,103.700120116691
640825,1.34619008816048,103.693228527345
640826,1.3460494791315,103.694422327392
640862,1.3501424810666,103.696684591473
640922,1.33908791999316,103.689229114582
640934,1.34223794700407,103.688737677408
641665,1.34009318644463,103.703124315086
641681,1.34440862686382,103.705195214449
642180,1.34783599908392,103.709070823104
642661,1.33584938847644,103.705525287934
643656,1.33598955071785,103.69997420624
643663,1.33804531435801,103.702429711458
643698,1.34028016730054,103.707599009323
644197,1.34360788485586,103.713869400316
644274,1.35219891849799,103.704379929183
648131,1.34594578766091,103.724619105198
648331,1.33931504032005,103.705350996191
649151,1.34938102403954,103.698930157409
649883,1.34749841015121,103.71119757097
650116,1.34962866452512,103.746381073293
650211,1.34600090748097,103.750367726623
650260,1.35091259231107,103.759021061327
650277,1.34737713969744,103.758002985557
650319,1.3613950798384,103.746516665634
650432,1.36053358595047,103.742364555897
650531,1.35628923150764,103.750409726092
650535,1.35497075521286,103.750399548957
657993,1.35582936982069,103.741594327509
659441,1.35906257616677,103.748122250254
659586,1.34400859302781,103.751297375383
667970,1.3619672534168,103.764266382093
669915,1.35752640518369,103.760075727441
670111,1.37816746627422,103.768365659202
670235,1.37818350557282,103.771291362954
670445,1.38358032362676,103.770768501474
670487,1.38917306201936,103.771106197699
670522,1.3863359929313,103.766165401472
670631,1.38647806662619,103.760256469034
671632,1.38541445977563,103.758030964055
677622,1.3655707838852,103.77504908361
678091,1.36106463746906,103.767474123955
679002,1.37972100441473,103.769118494651
