subzone,planning_area,supply,n_centres,pct_full_avg,demand_2026,organic_2026,bto_2026,gap_2026,demand_2027,organic_2027,bto_2027,gap_2027,demand_2028,organic_2028,bto_2028,gap_2028,demand_2029,organic_2029,bto_2029,gap_2029,demand_2030,organic_2030,bto_2030,gap_2030,demand_2031,organic_2031,bto_2031,gap_2031,gap_trend,centres_needed_2031,category,bto_share_2031,first_deficit_year,supply_younger,supply_older,demand_younger_2026,demand_older_2026,gap_younger_2026,gap_older_2026,demand_younger_2027,demand_older_2027,gap_younger_2027,gap_older_2027,demand_younger_2028,demand_older_2028,gap_younger_2028,gap_older_2028,demand_younger_2029,demand_older_2029,gap_younger_2029,gap_older_2029,demand_younger_2030,demand_older_2030,gap_younger_2030,gap_older_2030,demand_younger_2031,demand_older_2031,gap_younger_2031,gap_older_2031
Marina South,Marina South,100.0,1.0,1.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,-100.0,0.0,0.0,Comfortable,0.0,,50.0,33.333333333333336,0.0,0.0,-50.0,-33.333333333333336,0.0,0.0,-50.0,-33.333333333333336,0.0,0.0,-50.0,-33.333333333333336,0.0,0.0,-50.0,-33.333333333333336,0.0,0.0,-50.0,-33.333333333333336,0.0,0.0,-50.0,-33.333333333333336
Nicoll,Downtown Core,0.0,0.0,,6.40749742344845,6.40749742344845,0.0,6.40749742344845,6.332800134856774,6.332800134856774,0.0,6.332800134856774,6.259648381408743,6.259648381408743,0.0,6.259648381408743,6.188011431003211,6.188011431003211,0.0,6.188011431003211,6.117859163926123,6.117859163926123,0.0,6.117859163926123,6.0491620606491185,6.0491620606491185,0.0,6.0491620606491185,-0.3583353627993313,1.0,Urgent: deficit today,0.0,2026.0,0.0,0.0,3.8857784875443704,2.5217189359040804,3.8857784875443704,2.5217189359040804,3.8083564800406355,2.524443654816139,3.8083564800406355,2.524443654816139,3.732477063620031,2.5271713177887123,3.732477063620031,2.5271713177887123,3.65810950300035,2.5299019280028605,3.65810950300035,2.5299019280028605,3.585223675283043,2.5326354886430797,3.585223675283043,2.5326354886430797,3.5137900577518106,2.535372002897307,3.5137900577518106,2.535372002897307
Marina East,Marina East,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Comfortable,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Institution Hill,River Valley,100.0,1.0,1.0,145.80198102029757,145.80198102029757,0.0,45.801981020297575,144.32710828084845,144.32710828084845,0.0,44.32710828084845,142.88316685269587,142.88316685269587,0.0,42.883166852695865,141.46954211608423,141.46954211608423,0.0,41.46954211608423,140.08563169902402,140.08563169902402,0.0,40.08563169902402,138.7308452332635,138.7308452332635,0.0,38.730845233263494,-7.0711357870340805,1.0,Urgent: deficit today,0.0,2026.0,50.0,33.333333333333336,77.71556975088741,68.08641126941016,27.71556975088741,34.75307793607683,76.1671296008127,68.15997868003575,26.1671296008127,34.82664534670241,74.64954127240063,68.23362558029523,24.649541272400626,34.90029224696189,73.16219006000699,68.30735205607724,23.162190060006992,34.9740187227439,71.70447350566086,68.38115819336315,21.704473505660857,35.04782486002981,70.27580115503622,68.45504407822729,20.27580115503622,35.12171074489395
Robertson Quay,Singapore River,400.0,4.0,0.45,138.23682421258533,138.23682421258533,0.0,-261.76317578741464,136.75377731640003,136.75377731640003,0.0,-263.24622268359997,135.30165289932972,135.30165289932972,0.0,-264.6983471006703,133.87983633207566,133.87983633207566,0.0,-266.1201636679243,132.48772523309475,132.48772523309475,0.0,-267.51227476690525,131.12472922457158,131.12472922457158,0.0,-268.8752707754284,-7.11209498801378,0.0,Comfortable,0.0,,270.0,113.33333333333334,77.71556975088741,60.52125446169793,-192.28443024911257,-52.812078871635414,76.1671296008127,60.58664771558733,-193.8328703991873,-52.74668561774601,74.64954127240063,60.65211162692909,-195.35045872759937,-52.68122170640425,73.16219006000699,60.717646272068656,-196.837809939993,-52.61568706126469,71.70447350566086,60.783251727433914,-198.29552649433913,-52.55008160589943,70.27580115503622,60.84892806953537,-199.72419884496378,-52.484405263797974
Jurong Island And Bukom,Western Islands,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Comfortable,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fort Canning,Museum,0.0,0.0,,6.40749742344845,6.40749742344845,0.0,6.40749742344845,6.332800134856774,6.332800134856774,0.0,6.332800134856774,6.259648381408743,6.259648381408743,0.0,6.259648381408743,6.188011431003211,6.188011431003211,0.0,6.188011431003211,6.117859163926123,6.117859163926123,0.0,6.117859163926123,6.0491620606491185,6.0491620606491185,0.0,6.0491620606491185,-0.3583353627993313,1.0,Urgent: deficit today,0.0,2026.0,0.0,0.0,3.8857784875443704,2.5217189359040804,3.8857784875443704,2.5217189359040804,3.8083564800406355,2.524443654816139,3.8083564800406355,2.524443654816139,3.732477063620031,2.5271713177887123,3.732477063620031,2.5271713177887123,3.65810950300035,2.5299019280028605,3.65810950300035,2.5299019280028605,3.585223675283043,2.5326354886430797,3.585223675283043,2.5326354886430797,3.5137900577518106,2.535372002897307,3.5137900577518106,2.535372002897307
Pearl's Hill,Outram,200.0,2.0,0.0,113.97089407043183,113.97089407043183,0.0,-86.02910592956817,112.70648960219742,112.70648960219742,0.0,-87.29351039780258,111.46836511952606,111.46836511952606,0.0,-88.53163488047394,110.25599818306029,110.25599818306029,0.0,-89.74400181693971,109.06887676403024,109.06887676403024,0.0,-90.93112323596976,107.90649903682962,107.90649903682962,0.0,-92.09350096317038,-6.06439503360221,0.0,Comfortable,0.0,,110.0,73.33333333333334,66.0582342882543,47.91265978217753,-43.9417657117457,-25.420673551155815,64.74206016069078,47.96442944150664,-45.257939839309216,-25.368903891826704,63.452110081540525,48.01625503798553,-46.547889918459475,-25.317078295347812,62.187861551005945,48.06813663205435,-47.812138448994055,-25.265196701278995,60.94880247981172,48.12007428421852,-49.05119752018828,-25.213259049114825,59.73443098178077,48.17206805504884,-50.26556901821923,-25.161265278284503
Boat Quay,Singapore River,100.0,1.0,1.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,-100.0,0.0,0.0,Comfortable,0.0,,50.0,33.333333333333336,0.0,0.0,-50.0,-33.333333333333336,0.0,0.0,-50.0,-33.333333333333336,0.0,0.0,-50.0,-33.333333333333336,0.0,0.0,-50.0,-33.333333333333336,0.0,0.0,-50.0,-33.333333333333336,0.0,0.0,-50.0,-33.333333333333336
Henderson Hill,Bukit Merah,200.0,2.0,0.4,284.4516055676359,284.4516055676359,0.0,84.45160556763591,281.1676495885142,281.1676495885142,0.0,81.16764958851422,511.6117000997735,277.95170009977346,233.66000000000003,311.6117000997735,742.1224048921442,274.8024048921441,467.32000000000005,542.1224048921442,739.0384387013926,271.7184387013925,467.32000000000005,539.0384387013926,736.0185026714585,268.69850267145847,467.32000000000005,536.0185026714585,451.56689710382255,6.0,Urgent: deficit today,0.6349296903594295,2026.0,100.0,66.66666666666667,170.9742534519523,113.47735211568363,70.97425345195231,46.81068544901696,167.56768512178795,113.59996446672625,67.56768512178795,46.93329780005958,312.9217180720087,198.68998202776478,212.92171807200867,132.02331536109813,458.34227267746996,283.7801322146742,358.34227267746996,217.11346554800753,455.13529625790846,283.90314244348406,355.13529625790846,217.23647577681737,451.99221708653425,284.0262855849243,351.99221708653425,217.35961891825764
