subzone,planning_area,supply,n_centres,pct_full_avg,demand_2026,organic_2026,bto_2026,gap_2026,demand_2027,organic_2027,bto_2027,gap_2027,demand_2028,organic_2028,bto_2028,gap_2028,demand_2029,organic_2029,bto_2029,gap_2029,demand_2030,organic_2030,bto_2030,gap_2030,demand_2031,organic_2031,bto_2031,gap_2031,gap_trend,centres_needed_2031,category,bto_share_2031
Punggol Town Centre,Punggol,1500.0,15.0,0.22,1952.404261514602,1645.524261514602,306.88000000000005,452.404261514602,1931.1652441213773,1624.2852441213772,306.88000000000005,431.1652441213773,1910.3618792187883,1603.4818792187882,306.88000000000005,410.3618792187883,1889.9855001507224,1583.1055001507223,306.88000000000005,389.9855001507224,1870.0276129540096,1563.1476129540094,306.88000000000005,370.02761295400956,1850.4798929176236,1543.5998929176235,306.88000000000005,350.4798929176236,-101.92436859697841,4.0,Urgent: deficit today,0.16583806242614557
North Coast,Woodlands,300.0,3.0,0.0,204.8335173829739,204.8335173829739,0.0,-95.1664826170261,202.6062223197839,202.6062223197839,0.0,-97.39377768021609,200.42530803120587,200.42530803120587,0.0,-99.57469196879413,423.5498525701106,198.2898525701106,225.26000000000002,123.5498525701106,646.7189523609991,196.1989523609991,450.52000000000004,346.7189523609991,644.6717218339601,194.15172183396007,450.52000000000004,344.6717218339601,439.83820445098615,4.0,Emerging: deficit by 2031,0.6988362987573926
Tampines West,Tampines,3900.0,39.0,0.4658119658119658,3980.899804551059,2425.9198045510584,1554.9800000000002,80.89980455105888,4256.946807455901,2397.606807455901,1859.3400000000001,356.94680745590085,4307.759565236125,2369.879565236125,1937.88,407.7595652361251,4280.6064304222145,2342.726430422214,1937.88,380.60643042221454,4254.015987639357,2316.135987639357,1937.88,354.01598763935726,4227.977048983119,2290.0970489831184,1937.88,327.97704898311895,247.07724443206007,4.0,Urgent: deficit today,0.45834685892301247
Sungei Road,Rochor,0.0,0.0,,49.89591983594732,49.89591983594732,0.0,49.89591983594732,49.3784882536297,49.3784882536297,0.0,49.3784882536297,183.27188130543863,48.871881305438635,134.4,183.27188130543863,317.1758838730282,48.375883873028194,268.8,317.1758838730282,316.69028512476905,47.89028512476902,268.8,316.69028512476905,316.21487843033844,47.41487843033844,268.8,316.21487843033844,266.3189585943911,4.0,Urgent: deficit today,0.8500548782976262
Kampong Bugis,Kallang,100.0,1.0,0.0,88.62655182198564,20.58655182198564,68.04,-11.373448178014357,248.34231322979483,20.282313229794816,228.06,148.34231322979483,408.06425089005756,19.98425089005755,388.08000000000004,308.06425089005756,407.77224186800714,19.69224186800712,388.08000000000004,307.77224186800714,407.4861656784184,19.406165678418333,388.08000000000004,307.4861656784184,407.20590423680187,19.12590423680186,388.08000000000004,307.20590423680187,318.57935241481624,4.0,Emerging: deficit by 2031,0.9530313680675917
Queensway,Queenstown,100.0,1.0,1.0,3.8857784875443704,3.8857784875443704,0.0,-96.11422151245563,89.20835648004064,3.8083564800406355,85.4,-10.791643519959365,279.6724770636201,3.732477063620031,275.94000000000005,179.67247706362008,384.7381095030004,3.65810950300035,381.08000000000004,284.7381095030004,384.6652236752831,3.585223675283043,381.08000000000004,284.6652236752831,384.59379005775185,3.5137900577518106,381.08000000000004,284.59379005775185,380.7080115702075,3.0,Emerging: deficit by 2031,0.9908636328807489
Bukit Ho Swee,Bukit Merah,300.0,3.0,0.3333333333333333,322.48378977357356,322.48378977357356,0.0,22.483789773573562,319.07768640638915,319.07768640638915,0.0,19.077686406389148,437.40271004047804,315.742710040478,121.66000000000001,137.40271004047804,555.7974470341792,312.47744703417914,243.32000000000002,255.79744703417919,552.6005119156755,309.2805119156755,243.32000000000002,252.6005119156755,549.4705468217298,306.1505468217298,243.32000000000002,249.47054682172984,226.98675704815628,3.0,Urgent: deficit today,0.442826283241971
Khatib,Yishun,300.0,3.0,0.13333333333333333,201.15413906280605,201.15413906280605,0.0,-98.84586093719395,198.84124783537615,198.84124783537615,0.0,-101.15875216462385,375.3562711414598,196.57627114145976,178.78000000000003,75.35627114145979,551.9182562891025,194.3582562891024,357.56000000000006,251.9182562891025,549.746269570353,192.1862695703529,357.56000000000006,249.74626957035298,547.6193958830199,190.05939588301993,357.56000000000006,247.61939588301993,346.4652568202139,3.0,Emerging: deficit by 2031,0.6529352369330258
Teck Whye,Choa Chu Kang,1100.0,11.0,0.3090909090909091,682.9698041820823,486.96980418208227,196.00000000000003,-417.03019581791773,1007.6928102491148,481.29281024911484,526.4,-92.30718975088519,1332.5332769870645,475.73327698706447,856.8000000000001,232.53327698706448,1327.088868756244,470.28886875624397,856.8000000000001,227.08886875624398,1321.7572964583853,464.9572964583853,856.8000000000001,221.75729645838533,1316.536316609333,459.73631660933296,856.8000000000001,216.53631660933297,633.5665124272507,3.0,Emerging: deficit by 2031,0.650798606305553
Chong Boon,Ang Mo Kio,300.0,3.0,0.06666666666666667,546.0013405447586,546.0013405447586,0.0,246.0013405447586,539.5719242880504,539.5719242880504,0.0,239.57192428805035,533.2754181655745,533.2754181655745,0.0,233.27541816557448,527.1091792102703,527.1091792102703,0.0,227.10917921027033,521.0706171203605,521.0706171203605,0.0,221.07061712036045,515.1571932100295,515.1571932100295,0.0,215.1571932100295,-30.844147334729087,3.0,Urgent: deficit today,0.0
Pasir Ris Central,Pasir Ris,1100.0,11.0,0.33636363636363636,1373.1250478686825,1073.5250478686826,299.6,273.1250478686825,1360.899215009856,1061.2992150098562,299.6,260.8992150098561,1348.9268764111325,1049.3268764111324,299.6,248.92687641113253,1337.2029920365521,1037.6029920365522,299.6,237.20299203655213,1325.7226222816716,1026.1226222816717,299.6,225.72262228167165,1314.4809259725312,1014.880925972531,299.6,214.48092597253117,-58.64412189615132,3.0,Urgent: deficit today,0.22792266824133497
Boon Teck,Toa Payoh,300.0,3.0,0.6,525.073131624106,369.113131624106,155.96,225.07313162410605,520.7379641668767,364.77796416687676,155.96,220.73796416687674,516.4924348039184,360.5324348039184,155.96,216.4924348039184,512.3347610701833,356.3747610701833,155.96,212.33476107018328,508.2631960190721,352.30319601907206,155.96,208.2631960190721,504.2760275147515,348.3160275147515,155.96,204.2760275147515,-20.797104109354564,3.0,Urgent: deficit today,0.3092750626450069
Sennett,Toa Payoh,1200.0,12.0,0.27777777777777773,1403.108016041219,259.0280160412186,1144.0800000000002,203.1080160412189,1399.95983104472,255.87983104471994,1144.0800000000002,199.95983104471998,1396.8765467480125,252.7965467480124,1144.0800000000002,196.87654674801252,1393.8568723901235,249.7768723901234,1144.0800000000002,193.8568723901235,1390.899542930325,246.81954293032481,1144.0800000000002,190.89954293032497,1388.0033185356738,243.92331853567373,1144.0800000000002,188.00331853567377,-15.104697505545118,2.0,Urgent: deficit today,0.82426315897212
Telok Blangah Drive,Bukit Merah,500.0,5.0,0.24000000000000005,681.7971874414351,681.7971874414351,0.0,181.79718744143509,697.3210190938396,672.8210190938396,24.500000000000004,197.3210190938396,713.0286752184018,664.0286752184018,49.00000000000001,213.02867521840176,704.4164985932905,655.4164985932905,49.00000000000001,204.4164985932905,695.9809048706301,646.9809048706301,49.00000000000001,195.98090487063007,687.7183811245312,638.7183811245312,49.00000000000001,187.71838112453122,5.921193683096135,2.0,Urgent: deficit today,0.07125009501691237
Yuhua West,Jurong East,200.0,2.0,0.7,407.1453158300437,407.1453158300437,0.0,207.14531583004373,402.68800098475174,402.68800098475174,0.0,202.68800098475174,398.32344474462303,398.32344474462303,0.0,198.32344474462303,394.04980321221836,394.04980321221836,0.0,194.04980321221836,389.8652692333551,389.8652692333551,0.0,189.8652692333551,385.76807166502283,385.76807166502283,0.0,185.76807166502283,-21.377244165020898,2.0,Urgent: deficit today,0.0
Teban Gardens,Jurong East,600.0,6.0,0.06666666666666667,507.14355566931494,507.14355566931494,0.0,-92.85644433068506,501.488359487644,501.488359487644,0.0,-98.511640512356,495.9506475293742,495.9506475293742,0.0,-104.04935247062582,642.5680841802669,490.52808418026683,152.04000000000002,42.56808418026685,789.29838036753,485.2183803675299,304.08000000000004,189.29838036752994,784.0992926325114,480.01929263251134,304.08000000000004,184.09929263251138,276.95573696319644,2.0,Emerging: deficit by 2031,0.38780802744903775
