subzone,planning_area,supply,n_centres,pct_full_avg,demand_2026,organic_2026,bto_2026,gap_2026,demand_2027,organic_2027,bto_2027,gap_2027,demand_2028,organic_2028,bto_2028,gap_2028,demand_2029,organic_2029,bto_2029,gap_2029,demand_2030,organic_2030,bto_2030,gap_2030,demand_2031,organic_2031,bto_2031,gap_2031,gap_trend,centres_needed_2031,category,bto_share_2031,first_deficit_year,supply_younger,supply_older,demand_younger_2026,demand_older_2026,gap_younger_2026,gap_older_2026,demand_younger_2027,demand_older_2027,gap_younger_2027,gap_older_2027,demand_younger_2028,demand_older_2028,gap_younger_2028,gap_older_2028,demand_younger_2029,demand_older_2029,gap_younger_2029,gap_older_2029,demand_younger_2030,demand_older_2030,gap_younger_2030,gap_older_2030,demand_younger_2031,demand_older_2031,gap_younger_2031,gap_older_2031,masked_driver
Wenya,Jurong West,400.0,4.0,0.15,324.7991085421012,324.7991085421012,0.0,-75.20089145789882,321.55874806557244,321.55874806557244,0.0,-78.44125193442756,318.3864411843928,318.3864411843928,0.0,-81.61355881560718,315.2808357401899,315.2808357401899,0.0,-84.7191642598101,312.2406065196817,312.2406065196817,0.0,-87.7593934803183,309.2644547178154,309.2644547178154,0.0,-90.7355452821846,-15.534653824285783,0.0,Comfortable,0.0,,220.0,146.66666666666669,170.9742534519523,153.8248550901489,-49.02574654804769,7.1581884234822155,167.56768512178795,153.99106294378447,-52.432314878212054,7.324396277117785,164.22899079928138,154.15745038511145,-55.77100920071862,7.49078371844476,160.95681813201537,154.32401760817447,-59.04318186798463,7.6573509415077865,157.74984171245387,154.49076480722786,-62.25015828754613,7.824098140561176,154.60676254107966,154.65769217673574,-65.39323745892034,7.991025510069051,Older (5-6y) short
Jelebu,Bukit Panjang,700.0,7.0,0.419047619047619,636.2447633551712,636.2447633551712,0.0,-63.755236644828756,676.1015110187382,629.3415110187382,46.760000000000005,-23.898488981261835,716.1020405556326,622.5820405556326,93.52000000000001,16.102040555632584,709.4834939313444,615.9634939313444,93.52000000000001,9.483493931344356,703.0030700634186,609.4830700634186,93.52000000000001,3.0030700634185905,696.658023686725,603.138023686725,93.52000000000001,-3.3419763132750404,60.413260331553715,0.0,Comfortable,0.13424089986804535,2028.0,415.0,226.66666666666669,361.3773993416264,274.8673640135448,-53.622600658373585,48.20069734687809,383.9335162801427,292.1679947385955,-31.066483719857274,65.50132807192881,406.6330941893902,309.4689463662424,-8.366905810609808,82.8022796995757,399.71691105175984,309.76658287958446,-15.283088948240163,83.09991621291778,392.9385290740502,310.0645409893684,-22.061470925949777,83.39787432270174,386.29520264364567,310.3628210430792,-28.704797356354334,83.6961543764125,Older (5-6y) short
Clementi West,Clementi,400.0,4.0,0.0,345.3856603640869,345.3856603640869,0.0,-54.6143396359131,341.8410612953672,341.8410612953672,0.0,-58.15893870463282,338.37069207445035,338.37069207445035,0.0,-61.629307925549654,334.973077608197,334.973077608197,0.0,-65.026922391803,331.64677219810005,331.64677219810005,0.0,-68.35322780189995,328.3903589546172,328.3903589546172,0.0,-71.60964104538277,-16.995301409469675,0.0,Comfortable,0.0,,220.0,146.66666666666669,186.5173674021298,158.86829296195705,-33.48263259787021,12.201626295290367,182.8011110419505,159.03995025341675,-37.19888895804951,12.373283586750063,179.1588990537615,159.21179302068887,-40.8411009462385,12.545126354022187,175.5892561440168,159.3838214641802,-44.41074385598321,12.717154797513501,172.09073641358606,159.55603578451402,-47.90926358641394,12.889369117847338,168.6619227720869,159.72843618253034,-51.33807722791309,13.06176951586366,Older (5-6y) short
Bedok Reservoir,Bedok,800.0,8.0,0.45,747.6939384896989,747.6939384896989,0.0,-52.306061510301106,739.5235569661196,739.5235569661196,0.0,-60.4764430338804,731.5232343573698,731.5232343573698,0.0,-68.4767656426302,723.6895901864018,723.6895901864018,0.0,-76.3104098135982,716.0193113388059,716.0193113388059,0.0,-83.98068866119411,708.5091507206573,708.5091507206573,0.0,-91.49084927934268,-39.18478776904158,0.0,Relocation candidate,0.0,,440.0,310.0,427.4356336298807,320.25830485981817,-12.564366370119274,10.258304859818168,418.9192128044699,320.60434416164964,-21.080787195530093,10.604344161649635,410.5724769982034,320.95075735916646,-29.4275230017966,10.95075735916646,402.39204533003846,321.2975448563633,-37.60795466996154,11.297544856363288,394.3746042811347,321.64470705767116,-45.62539571886532,11.644707057671155,386.51690635269915,321.99224436795805,-53.48309364730085,11.992244367958051,Older (5-6y) short
Bayshore,Bedok,300.0,3.0,0.7333333333333334,255.68069643580856,255.68069643580856,0.0,-44.31930356419144,253.1818594073724,253.1818594073724,0.0,-46.8181405926276,250.73561473472796,250.73561473472796,0.0,-49.26438526527204,248.34091757415206,248.34091757415206,0.0,-51.65908242584794,245.99674390313436,245.99674390313436,0.0,-54.00325609686564,243.70209010552958,243.70209010552958,0.0,-56.29790989447042,-11.978606330278978,0.0,Comfortable,0.0,,170.0,113.33333333333334,132.1164685765086,123.56422785929995,-37.883531423491405,10.230894525966605,129.48412032138157,123.6977390859908,-40.51587967861843,10.364405752657461,126.90422016308105,123.83139457164691,-43.09577983691895,10.498061238313568,124.37572310201189,123.96519447214015,-45.62427689798811,10.631861138806812,121.89760495962344,124.09913894351091,-48.102395040376564,10.765805610177566,119.46886196356154,124.23322814196804,-50.53113803643846,10.899894808634699,Older (5-6y) short
Yio Chu Kang West,Ang Mo Kio,700.0,7.0,0.14285714285714285,658.1166854767154,530.9966854767154,127.12000000000002,-41.88331452328464,652.5688832105808,525.4488832105808,127.12000000000002,-47.43111678941921,647.1370549614301,520.0170549614301,127.12000000000002,-52.86294503856993,641.818895885298,514.698895885298,127.12000000000002,-58.18110411470195,636.6121470673207,509.49214706732073,127.12000000000002,-63.387852932679266,631.51459460663,504.39459460663,127.12000000000002,-68.48540539337,-26.602090870085362,0.0,Relocation candidate,0.20129384354004198,,415.0,226.66666666666669,372.3279320203733,285.7887534563422,-42.67206797962672,59.12208678967551,366.5212814575931,286.04760175298776,-48.47871854240691,59.380935086321074,360.83032522604776,286.30672973538225,-54.16967477395224,59.64006306871556,355.25275817957174,286.5661377057263,-59.74724182042826,59.89947103905962,349.78632110077365,286.82582596654714,-65.21367889922635,60.15915929988046,344.42879978593123,287.08579482069877,-70.57120021406877,60.41912815403208,Older (5-6y) short
Sembawang Springs,Sembawang,1000.0,10.0,0.08,970.3381367772092,356.29813677720915,614.0400000000001,-29.66186322279077,966.1523638971632,352.1123638971632,614.0400000000001,-33.84763610283676,962.053138041101,348.01313804110094,614.0400000000001,-37.946861958899035,958.0387382081769,343.9987382081769,614.0400000000001,-41.96126179182306,954.1074776912199,340.0674776912198,614.0400000000001,-45.892522308780144,950.2577033934533,336.21770339345323,614.0400000000001,-49.74229660654669,-20.080433383755917,0.0,Relocation candidate,0.6461826068941189,,560.0,373.33333333333337,608.3563225752121,361.98181420199717,48.35632257521206,-11.351519131336204,604.020690155003,362.1316737421604,44.02069015500297,-11.201659591172984,599.7714428354491,362.2816952056519,39.77144283544908,-11.051638127681485,595.6068594407469,362.4318787674301,35.606859440746916,-10.901454565903293,591.5252530885778,362.5822246026421,31.525253088577756,-10.751108730691271,587.5249705068287,362.73273288662466,27.52497050682871,-10.600600446708711,Younger (18mo-4y) short
Holland Road,Bukit Timah,400.0,4.0,0.25,375.4398874275593,375.4398874275593,0.0,-24.560112572440687,372.091003157528,372.091003157528,0.0,-27.908996842471993,368.813307714041,368.813307714041,0.0,-31.186692285958998,365.60538752223925,365.60538752223925,0.0,-34.394612477760745,362.46585717718017,362.46585717718017,0.0,-37.53414282281983,359.39335888257324,359.39335888257324,0.0,-40.60664111742676,-16.046528544986074,0.0,Comfortable,0.0,,230.0,153.33333333333334,178.74581042704102,196.69407700051823,-51.25418957295898,43.36074366718489,175.18439808186923,196.90660507565883,-54.81560191813077,43.57327174232549,171.69394492652143,197.11936278751955,-58.306055073478575,43.786029454186206,168.2730371380161,197.33235038422313,-61.72696286198391,43.99901705088979,164.92028906301996,197.5455681141602,-65.07971093698004,44.21223478082686,161.63434265658327,197.75901622598994,-68.36565734341673,44.425682892656596,Older (5-6y) short
Telok Blangah Way,Bukit Merah,200.0,2.0,0.0,178.99712752180363,178.99712752180363,0.0,-21.002872478196366,177.23163978472397,177.23163978472397,0.0,-22.768360215276033,175.50327433169699,175.50327433169699,0.0,-24.496725668303014,173.81129362410564,173.81129362410564,0.0,-26.188706375894355,172.15497482065774,172.15497482065774,0.0,-27.845025179342258,170.5336094845519,170.5336094845519,0.0,-29.466390515448097,-8.463518037251731,0.0,Comfortable,0.0,,100.0,66.66666666666667,93.2586837010649,85.73844382073874,-6.741316298935104,19.071777154072066,91.40055552097525,85.8310842637487,-8.599444479024754,19.164417597082036,89.57944952688075,85.92382480481622,-10.420550473119249,19.25715813814955,87.7946280720084,86.01666555209725,-12.205371927991607,19.34999888543058,86.04536820679303,86.10960661386471,-13.954631793206971,19.44293994719804,84.33096138604346,86.20264809850843,-15.669038613956545,19.535981431841762,Older (5-6y) short
Punggol Field,Punggol,1800.0,18.0,0.17777777777777778,1787.6559564495087,1787.6559564495087,0.0,-12.344043550491278,1769.8353361880563,1769.8353361880563,0.0,-30.164663811943683,1752.3890121730549,1752.3890121730549,0.0,-47.61098782694512,1735.3095475350458,1735.3095475350458,0.0,-64.6904524649542,1718.5896536025712,1718.5896536025712,0.0,-81.41034639742884,1702.2221869494335,1702.2221869494335,0.0,-97.77781305056646,-85.43376950007519,0.0,Relocation candidate,0.0,,955.0,686.6666666666667,940.3583939857376,847.297562463771,-14.64160601426238,160.63089579710424,921.6222681698337,848.2130680182227,-33.37773183016634,161.54640135155591,903.2594493960477,849.1295627770073,-51.74055060395233,162.46289611034058,885.2624997260847,850.047047808961,-69.73750027391532,163.38038114229425,867.6241294184963,850.9655241840749,-87.3758705815037,164.29885751740812,850.3371939759382,851.8849929734952,-104.66280602406175,165.21832630682843,Older (5-6y) short
Boon Keng,Kallang,400.0,4.0,0.6,387.8742701050028,272.7942701050028,115.08000000000001,-12.125729894997221,384.82258014839226,269.7425801483923,115.08000000000001,-15.177419851607738,448.61426890891335,266.75426890891333,181.86,48.614268908913346,512.468076383143,263.82807638314307,248.64000000000001,112.46807638314306,509.6027676755433,260.9627676755433,248.64000000000001,109.6027676755433,506.79713249820304,258.15713249820305,248.64000000000001,106.79713249820304,118.92286239320026,2.0,Emerging: deficit by 2031,0.49061051070742123,2028.0,220.0,146.66666666666669,232.54964526204645,155.32462484295635,12.549645262046454,8.657958176289668,229.37534295439332,155.44723719399897,9.375342954393318,8.780570527332287,268.7606505175122,179.85361839140114,48.760650517512204,33.186951724734456,308.2079441684689,204.26013221467417,88.20794416846888,57.59346554800749,305.2196252320593,204.38314244348405,85.21962523205929,57.71647577681736,302.29084691327876,204.50628558492429,82.29084691327876,57.8396189182576,Both bands short
Kim Keat,Toa Payoh,500.0,5.0,0.27999999999999997,488.23682421258536,138.23682421258533,350.0,-11.763175787414639,486.75377731640003,136.75377731640003,350.0,-13.246222683599967,485.3016528993297,135.30165289932972,350.0,-14.698347100670276,483.8798363320757,133.87983633207566,350.0,-16.120163667924317,482.48772523309475,132.48772523309475,350.0,-17.51227476690525,481.1247292245716,131.12472922457158,350.0,-18.87527077542842,-7.11209498801378,0.0,Comfortable,0.727462087771075,,270.0,180.0,300.4428424781601,187.79398173442522,30.442842478160117,7.793981734425216,298.89440232808545,187.8593749883146,28.894402328085448,7.859374988314613,297.37681399967335,187.92483889965638,27.376813999673345,7.924838899656379,295.88946278727974,187.99037354479594,25.88946278727974,7.990373544795943,294.43174623293356,188.0559790001612,24.431746232933563,8.055979000161187,293.00307388230897,188.12165534226264,23.003073882308968,8.121655342262642,Both bands short
